File,Method,Precision,Recall,FSIM,PFOM
100075,Laplacian of Gaussian,0.255176890619929,0.48832298136646,0.627401137557066,0.284054065811701
100075,Prewitt,0.398662455879621,0.233489282994233,0.795636433971643,0.226389734163044
100075,Roberts,0.448036253776435,0.155499633008284,0.820432844540348,0.186756284611462
100075,Sobel,0.391478514202476,0.234383516842909,0.790566789837525,0.22750496605412
100075,Susan,0.304339592013419,0.785599553041413,0.188147782666473,0.182306759301479
100075,Musan,0.299699846433059,0.719480519480519,0.581908272778801,0.210055504529525
100080,Laplacian of Gaussian,0.408337740172748,0.426650704484759,0.726332541084814,0.308875444614489
100080,Prewitt,0.509356924123852,0.255591599795117,0.792783063298521,0.207764271394145
100080,Roberts,0.511111111111111,0.203004328269541,0.801282681309441,0.179476620966208
100080,Sobel,0.497359735973597,0.257518796992481,0.788480094337581,0.208991578087638
100080,Susan,0.544359949302915,0.363060016906171,0.624585693828643,0.231597922045006
100080,Musan,0.505272994259778,0.289262514329385,0.794202345840788,0.202269137376392
100098,Laplacian of Gaussian,0.524836186852674,0.657632206232895,0.681358839304928,0.44230668561406
100098,Prewitt,0.711025570525158,0.439721135861248,0.775504762749485,0.351448182634716
100098,Roberts,0.726612558735583,0.273033707865169,0.777052244272245,0.269425498151523
100098,Sobel,0.704789038122371,0.442240572060952,0.772677027118545,0.353255252012964
100098,Susan,0.422499510454516,0.984037296982289,0.352372413712777,0.168423105939604
100098,Musan,0.432572966475922,0.981211474632527,0.44484648706803,0.190952343050447
103041,Laplacian of Gaussian,0.266572388191621,0.559036144578313,0.728450106949942,0.279911172509788
103041,Prewitt,0.467281699206179,0.36041701141817,0.864889020808533,0.298078349702471
103041,Roberts,0.544885177453027,0.337700145560408,0.877380424609625,0.299021047245258
103041,Sobel,0.468171173089206,0.365768463073852,0.863007224043677,0.30220356446671
103041,Susan,0.402710472279261,0.829610829103215,0.349553792110462,0.195888767380283
103041,Musan,0.419369144631077,0.766697071044897,0.786415383683894,0.237058359245511
104022,Laplacian of Gaussian,0.382361208713985,0.594839838198316,0.664202288578811,0.422665222450425
104022,Prewitt,0.637742053343076,0.342221350847956,0.81831621959673,0.308783242473957
104022,Roberts,0.648111819519372,0.254722436391673,0.819737539410554,0.269461519361644
104022,Sobel,0.632384726224784,0.345843183609141,0.81564225848082,0.311703375066894
104022,Susan,0.533160705615795,0.841954610509098,0.239848149241293,0.298366577909832
104022,Musan,0.534876965849205,0.797007357942249,0.728714115799331,0.347399019630286
105019,Laplacian of Gaussian,0.109320424045591,0.818348623853211,0.634265429716623,0.133625757935842
105019,Prewitt,0.316985376827897,0.569523039611964,0.888869249508654,0.399891198513144
105019,Roberts,0.376970086844645,0.443771298750473,0.906984342310961,0.395378142673326
105019,Sobel,0.308333333333333,0.570385395537525,0.883273033108604,0.391128990248705
105019,Susan,0.288624682642888,0.893767976989454,0.312517406426856,0.175528204718316
105019,Musan,0.250952483646036,0.847124484348459,0.740684096348291,0.181942306253958
105053,Laplacian of Gaussian,0.229372937293729,0.676658980271586,0.737928726510207,0.236656359764796
105053,Prewitt,0.376141205112599,0.420217588395286,0.863049409429045,0.332106429469975
105053,Roberts,0.387480600103466,0.326432774024842,0.873390735383968,0.283977481664053
105053,Sobel,0.37317024263084,0.421995464852608,0.860117247264118,0.33390625530961
105053,Susan,0.396065880883616,0.723204104903079,0.542020060202996,0.232254956929136
105053,Musan,0.383615876560755,0.636838557465453,0.834230334507368,0.262124676350879
106020,Laplacian of Gaussian,0.178558655221745,0.42453231292517,0.736913719651057,0.20304487614506
106020,Prewitt,0.163499344692005,0.178023546200499,0.811416030497778,0.176977910942864
106020,Roberts,0.18816890445612,0.169589617678008,0.83107317979309,0.167274828554066
106020,Sobel,0.168688524590164,0.186278059377263,0.810765984204184,0.185707757789626
106020,Susan,0.183635546843094,0.894114137999602,0.402318842830755,0.0940986229413406
106020,Musan,0.186845079104171,0.87031941619811,0.665976750840195,0.110176693904915
106025,Laplacian of Gaussian,0.237389135254989,0.260057689388189,0.796215017329936,0.259917426421852
106025,Prewitt,0.517095523440254,0.208677098150782,0.890806181691628,0.223701483973863
106025,Roberts,0.570142015933495,0.228929068150209,0.892062091724653,0.242361853437368
106025,Sobel,0.503052917232022,0.210384451695276,0.888742460181002,0.223113566728828
106025,Susan,0.558406175502327,0.482396783367657,0.700557210760033,0.340055755945842
106025,Musan,0.562386980108499,0.432082932563856,0.885311503484397,0.319627776757831
108041,Laplacian of Gaussian,0.215925542916236,0.380120152921901,0.746908242406047,0.210511220841602
108041,Prewitt,0.2439453125,0.208409811446688,0.834061765664156,0.188793209292547
108041,Roberts,0.218765074770863,0.14719246997728,0.843542439758984,0.151661013329989
108041,Sobel,0.24388318863457,0.205520452278018,0.833943969175485,0.184642066884339
108041,Susan,0.217933056437821,0.784313725490196,0.315652624232338,0.0940768562992278
108041,Musan,0.225067005219354,0.687863763742186,0.720181834577733,0.114096245267238
108073,Laplacian of Gaussian,0.260448521916412,0.463983050847458,0.725099253474617,0.265061131299804
108073,Prewitt,0.281407035175879,0.214474379292129,0.82291142080861,0.196353164268793
108073,Roberts,0.300902708124373,0.200454363223306,0.828895161414247,0.198646193746044
108073,Sobel,0.284975878704342,0.220592157908776,0.822812983257235,0.202899791001007
108073,Susan,0.271573385406197,0.803688280785247,0.253491831112279,0.147956675448809
108073,Musan,0.283814602996386,0.776295585412668,0.71048718862863,0.170901074134757
109034,Laplacian of Gaussian,0.110979087452471,0.486458333333333,0.588519710853394,0.11242948301806
