Method,Mean_Precision,Mean_Recall,Mean_FSIM,Mean_PFOM
Laplacian of Gaussian,0.325991186032218,0.587362558980364,0.713109304078613,0.306273437684212
Musan,0.376480096854783,0.844977190086754,0.656357026816913,0.212368677516787
Prewitt,0.448796051026249,0.363736134687633,0.823465135228234,0.289103231118658
Roberts,0.474943702628374,0.294320132141773,0.83872272197282,0.268374285369803
Sobel,0.445847127990854,0.364623460403523,0.820970567223754,0.289731307000444
Susan,0.372738973171564,0.871759013870877,0.433328782415792,0.187954519589384
